// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 4 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet  restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 /p:Deterministic=true /p:Optimize=true /p:IntermediateOutputPath="C:\Users\VinderX\RiderProjects\Algo\Algo\bin\release\net8.0\34e81467-f86a-4981-859e-d24fa875db2c\obj\Release\net8.0/" /p:OutDir="C:\Users\VinderX\RiderProjects\Algo\Algo\bin\release\net8.0\34e81467-f86a-4981-859e-d24fa875db2c\bin\Release\net8.0/" /p:OutputPath="C:\Users\VinderX\RiderProjects\Algo\Algo\bin\release\net8.0\34e81467-f86a-4981-859e-d24fa875db2c\bin\Release\net8.0/" in C:\Users\VinderX\RiderProjects\Algo\Algo\bin\release\net8.0\34e81467-f86a-4981-859e-d24fa875db2c
// command took 0.76 sec and exited with 0
// start dotnet  build -c Release --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 /p:Deterministic=true /p:Optimize=true /p:IntermediateOutputPath="C:\Users\VinderX\RiderProjects\Algo\Algo\bin\release\net8.0\34e81467-f86a-4981-859e-d24fa875db2c\obj\Release\net8.0/" /p:OutDir="C:\Users\VinderX\RiderProjects\Algo\Algo\bin\release\net8.0\34e81467-f86a-4981-859e-d24fa875db2c\bin\Release\net8.0/" /p:OutputPath="C:\Users\VinderX\RiderProjects\Algo\Algo\bin\release\net8.0\34e81467-f86a-4981-859e-d24fa875db2c\bin\Release\net8.0/" --output "C:\Users\VinderX\RiderProjects\Algo\Algo\bin\release\net8.0\34e81467-f86a-4981-859e-d24fa875db2c\bin\Release\net8.0/" in C:\Users\VinderX\RiderProjects\Algo\Algo\bin\release\net8.0\34e81467-f86a-4981-859e-d24fa875db2c
// command took 3.04 sec and exited with 0
// ***** Done, took 00:00:03 (3.85 sec)   *****
// Found 4 benchmarks:
//   PQSecondTest.MyPriorityQueueAdd: DefaultJob
//   PQSecondTest.BuiltInPriorityQueueAdd: DefaultJob
//   PQSecondTest.MyPriorityQueueAddAndRemove: DefaultJob
//   PQSecondTest.BuiltInPriorityQueueAddAndRemove: DefaultJob

Setup power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: Высокая производительность)
// **************************
// Benchmark: PQSecondTest.MyPriorityQueueAdd: DefaultJob
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet 34e81467-f86a-4981-859e-d24fa875db2c.dll --anonymousPipes 1232 1216 --benchmarkName Algo.PriorityQueue.PQSecondTest.MyPriorityQueueAdd --job Default --benchmarkId 0 in C:\Users\VinderX\RiderProjects\Algo\Algo\bin\release\net8.0\34e81467-f86a-4981-859e-d24fa875db2c\bin\Release\net8.0
// BeforeAnythingElse

// Benchmark Process Environment Information:
// BenchmarkDotNet v0.14.0
// Runtime=.NET 8.0.16 (8.0.1625.21506), X64 RyuJIT AVX2
// GC=Concurrent Workstation
// HardwareIntrinsics=AVX2,AES,BMI1,BMI2,FMA,LZCNT,PCLMUL,POPCNT,AvxVnni,SERIALIZE VectorSize=256
// Job: DefaultJob

OverheadJitting  1: 1 op, 127700.00 ns, 127.7000 us/op
WorkloadJitting  1: 1 op, 17783800.00 ns, 17.7838 ms/op

OverheadJitting  2: 16 op, 141900.00 ns, 8.8688 us/op
WorkloadJitting  2: 16 op, 474483000.00 ns, 29.6552 ms/op

WorkloadPilot    1: 16 op, 486614300.00 ns, 30.4134 ms/op
WorkloadPilot    2: 32 op, 984444000.00 ns, 30.7639 ms/op

OverheadWarmup   1: 32 op, 2900.00 ns, 90.6250 ns/op
OverheadWarmup   2: 32 op, 600.00 ns, 18.7500 ns/op
OverheadWarmup   3: 32 op, 500.00 ns, 15.6250 ns/op
OverheadWarmup   4: 32 op, 600.00 ns, 18.7500 ns/op
OverheadWarmup   5: 32 op, 700.00 ns, 21.8750 ns/op
OverheadWarmup   6: 32 op, 700.00 ns, 21.8750 ns/op
OverheadWarmup   7: 32 op, 700.00 ns, 21.8750 ns/op
OverheadWarmup   8: 32 op, 600.00 ns, 18.7500 ns/op

OverheadActual   1: 32 op, 600.00 ns, 18.7500 ns/op
OverheadActual   2: 32 op, 600.00 ns, 18.7500 ns/op
OverheadActual   3: 32 op, 500.00 ns, 15.6250 ns/op
OverheadActual   4: 32 op, 500.00 ns, 15.6250 ns/op
OverheadActual   5: 32 op, 500.00 ns, 15.6250 ns/op
OverheadActual   6: 32 op, 500.00 ns, 15.6250 ns/op
OverheadActual   7: 32 op, 400.00 ns, 12.5000 ns/op
